Training Epoch : 1/300, Epoch Loss : 4.4165930906451365
Training Epoch : 2/300, Epoch Loss : 4.34555973963435
Training Epoch : 3/300, Epoch Loss : 4.318210230132965
Training Epoch : 4/300, Epoch Loss : 4.28099824294583
Training Epoch : 5/300, Epoch Loss : 4.234122244613048
Training Epoch : 6/300, Epoch Loss : 4.203144101577943
Training Epoch : 7/300, Epoch Loss : 4.1798982389743955
Training Epoch : 8/300, Epoch Loss : 4.149686167967643
Training Epoch : 9/300, Epoch Loss : 4.122774286212517
Training Epoch : 10/300, Epoch Loss : 4.10163231918819
Training Epoch : 11/300, Epoch Loss : 4.073958210354485
Training Epoch : 12/300, Epoch Loss : 4.054979101768794
Training Epoch : 13/300, Epoch Loss : 4.044859677283065
Training Epoch : 14/300, Epoch Loss : 4.02965359097161
Training Epoch : 15/300, Epoch Loss : 4.014610626906427
Training Epoch : 16/300, Epoch Loss : 3.999620774721451
Training Epoch : 17/300, Epoch Loss : 3.984300112076036
Training Epoch : 18/300, Epoch Loss : 3.9701540981534746
Training Epoch : 19/300, Epoch Loss : 3.9598214287772278
Training Epoch : 20/300, Epoch Loss : 3.9455061499085673
Training Epoch : 21/300, Epoch Loss : 3.9317732692845277
Training Epoch : 22/300, Epoch Loss : 3.920051028000984
Training Epoch : 23/300, Epoch Loss : 3.912536747145869
Training Epoch : 24/300, Epoch Loss : 3.9041204949520147
Training Epoch : 25/300, Epoch Loss : 3.8920964805741325
Training Epoch : 26/300, Epoch Loss : 3.884970553331865
Training Epoch : 27/300, Epoch Loss : 3.8785644139407984
Training Epoch : 28/300, Epoch Loss : 3.8720613361485414
Training Epoch : 29/300, Epoch Loss : 3.8653563336663375
Training Epoch : 30/300, Epoch Loss : 3.8584566606135526
